,Ast1,Ast2,Ast3,Ast4,Ast5,Ast7,Ast8,Ast9,Ast10,Ast11,Ast12,Ast13,Ast14,Ast15,Ast16,Ast17,Ast18,Ast19,Ast20
Mic12,0.48138664461225966,0.6990418784113213,0.15542601881995055,0.7966654799424873,0.5542726944545626,0.7651864489626745,0.49889142072188974,0.9468568323766204,0.6707691576950201,0.7706995725826404,0.5616303087269732,0.8476155738127238,0.4298520237583858,0.014229446073853902,0.9988906566107398,0.1412695988599173,0.8836486538846335,0.8576248437963139,0.4324865015470576
Mic13,0.008334926392865816,0.6183463496957455,0.32993790154611347,0.3916489764260078,0.9926609767372621,0.7191995692993289,0.4118165812320478,0.3723382908508308,0.24908905100979384,0.24156875911711628,0.31845017560412314,0.30973813302142705,0.5634895190837426,0.014969212835855172,0.5188288219252581,0.1162209727869461,0.21665472440492128,0.7086458704816028,0.311597319441693
Mic14,0.6824033931093434,0.3511718852955117,0.2507045025467667,0.18444690402605035,0.040935133643407395,0.20502982589213214,0.18282673262805038,0.1837514361695809,0.07409818046814598,0.27370208949852626,0.6430563434151673,0.7112637814214284,0.8950149172971238,0.009135629380740307,0.4360873171681061,0.4505760390747433,0.36191744247545676,0.40678512646114706,0.05338515440500213
Mic15,0.6601074478922762,0.43029978632604493,0.4457766524657698,0.34674990059901933,0.17201712557114357,0.2759568498475191,0.28119328984558045,0.20691610335820743,0.11410472307469699,0.5439560047287715,0.4445284711130353,0.555020796436299,0.9134290462035899,0.05169903782633134,0.48921093059092535,0.8009160204992158,0.2713423357277873,0.34568398575026915,0.20951531741129936
Mic16,0.4970958221428563,0.9261122807854136,0.8112439670747684,0.8626535452427118,0.8807069174532187,0.8804343354901762,0.7965886281190524,0.7080939617543747,0.9109784548396633,0.9814905522646469,0.8310305585837812,0.45343276232602747,0.6782099158516335,0.6699936955917314,0.2175344604015481,0.8815211171162702,0.9634798700602158,0.7916602332392375,0.6919066586371077
Mic17,0.2287167868637865,0.2682321363420124,0.6637649795087279,0.2012934991088322,0.1927559171578741,0.24712883960253684,0.23684002885566335,0.1505553425263495,0.07369988203637301,0.5500132042203671,0.2892333787149237,0.3200387917789427,0.3939453616746471,0.15884768986460895,0.2347180318684483,0.04852564682933602,0.14608020231716345,0.16086887417074625,0.14648505198544393
Mic18,0.08015802512273029,0.4078160732435454,0.0680293098299869,0.3527962704837382,0.5220205911989557,0.667862072993739,0.4178765524116037,0.62647727359487,0.9822946333532305,0.8968374758329178,0.3352036541581982,0.4463784272005693,0.2930493830188323,0.000986605057122114,0.8202534452514654,0.055497543646414904,0.47537777106477486,0.9431363333132621,0.7479162964037549
Mic19,0.4682127128721625,0.49117197669430435,0.39173914972108603,0.2611223447623243,0.9330884535157085,0.40969641776959764,0.3956798267305739,0.5178850625472067,0.5359401860835185,0.7655331754921981,0.4226528174037427,0.6685480399259336,0.6468322849134189,0.003428992941933773,0.56099964046528,0.051468873496223644,0.43672235407175375,0.81572936573449,0.7855855452222626
Mic20,0.4023017447912607,0.2714771145309527,0.23207276986826386,0.17223819548645647,0.012508996288678631,0.0818193411490491,0.1419894219532465,0.23619806471185667,0.12582464829469897,0.14850436145228807,0.8475540429469739,0.9495438856563521,0.6999191671284786,0.0024948904520161186,0.5224474699385655,0.1882199012478072,0.6033052720257395,0.42333831482571127,0.08650058468335375
Mic21,0.39191556924911075,0.9045180732952753,0.36420057496325997,0.8124295187379722,0.654444970770576,0.7905448042843224,0.7122956639702511,0.40558771897235335,0.29452324374927064,0.9514126486266914,0.8622464076998833,0.7822086992269812,0.9889425427283924,0.454163591614579,0.5277334157645079,0.9736601088474957,0.42652007419166527,0.798547500535884,0.9420054235785078
