Module,GO_term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes
Mic2,"regulation of synaptic transmission, glutamatergic (GO:0051966)",20/46,6.482292297568106e-11,2.1998542860747043e-08,9.03232144611455,NLGN1;UNC13A;TSHZ3;SYT1;NRXN1;ATP1A2;DGKZ;GRM1;GRM3;CACNG7;CACNG8;GRM5;CDH2;GRM7;OPHN1;GRM8;PTK2B;CACNG2;CACNG3;DGKI
Mic2,regulation of neuron projection development (GO:0010975),40/165,1.1410560242662811e-10,3.5496351154883566e-08,3.785562742561449,KANK1;PTPRS;TENM3;SEMA3A;PTPRO;PLPPR5;CAMSAP2;ARHGAP44;EFNB2;CDH2;FUT9;DPYSL3;PTK2B;SPOCK1;CSMD3;CTNNA2;LRRC4C;PAK3;CAMK2G;LZTS3;PPFIA2;MARK1;ZNF365;NTNG1;EPHA4;NTRK2;PRKCI;CDKL5;BDNF;DCC;NTRK3;MAGI2;SRCIN1;RIT2;ABI2;LRRC7;IL1RAPL1;PRKD1;TOX;EPHA3
Mic2,positive regulation of synaptic transmission (GO:0050806),25/73,1.4007875779568527e-10,4.0224154065484084e-08,6.127882767456758,SLC24A2;NLGN1;CLSTN2;TSHZ3;CLSTN3;FMR1;NRXN1;GRIK2;ADCY1;AKAP5;ADCY8;RIMS2;RIMS1;CACNG7;CACNG8;GRIN2A;PTK2B;CACNG2;CACNG3;LGI1;SYT1;GRIN2B;SHISA7;SLC8A3;SHANK2
Mic2,neuron projection morphogenesis (GO:0048812),36/140,1.6433356753767054e-10,4.3818371972723165e-08,4.089081885856079,NCKAP1;SPTBN4;CNTNAP2;NLGN1;CTNND2;ATL1;PLPPR4;LRP4;NYAP2;MAP2;BTBD3;SLITRK4;MAP6;SLITRK5;NRCAM;CTNNA2;PAK3;EPHB1;ZNF365;NTNG1;BDNF;DCC;LMTK2;ANK3;BAIAP2;ZDHHC17;DCLK1;MYO16;ALS2;CTTN;PARD3;TNIK;CNTN4;DSCAML1;FGFR2;SHANK1
Mic2,adherens junction organization (GO:0034332),20/49,2.59248485643932e-10,6.451830646058656e-08,8.096622186990796,CADM1;CADM2;CDH9;CDH8;CDH7;CDH6;TJP1;CDH4;CDH2;CDH20;CDH10;CDH11;CDH22;CDH12;CDHR3;CDH13;NECTIN3;CDH18;JAM3;NECTIN1
Mic2,cell-cell junction organization (GO:0045216),26/82,4.1755270786715604e-10,9.742026615425585e-08,5.463690476190476,CTNND2;CDH9;CDH8;CDH7;CDH6;CDH4;CDH2;CDH20;CDH22;PRKCI;TGFB2;NLGN4X;CADM1;CADM2;TJP1;CDH10;CDH11;CDH12;CDHR3;PKP2;CDH13;DSG2;PKP4;NECTIN3;CDH18;NECTIN1
Mic2,chloride transmembrane transport (GO:1902476),19/50,3.062981961279289e-09,6.725948036150346e-07,7.190172303765157,GABRB3;GABRA2;SLC12A2;GABRB2;GABRB1;GABRA6;GABRA4;SLC1A1;GABRA3;SLC6A1;ANO4;ANO5;GABRG3;GABRG2;ANO3;GLRA2;GLRA3;GLRB;APOL1
Mic2,cell junction assembly (GO:0034329),28/102,3.5669677731541174e-09,7.397494831769068e-07,4.454081809665892,NLGN1;CTNND2;NRXN1;NRXN2;CDH9;CDH8;CDH7;CDH6;CDH2;OPHN1;CDH20;CDH22;NRCAM;KIRREL3;DSCAM;BDNF;MYO9A;DNM3;TJP1;CDH10;CDH11;PKP2;CDH12;CDHR3;PKP4;CDH18;SHANK2;ADGRL3
Mic2,glutamate receptor signaling pathway (GO:0007215),16/37,5.873511501940761e-09,1.1539904440392032e-06,8.925932666060055,GRIA2;KCNB1;FMR1;GRIK4;GRIK2;GRIN2B;GRM1;GRM3;GRIN2A;GRM5;GRM7;GRM8;PTK2B;PLCB1;GRIA3;GRIA4
Mic2,cell morphogenesis involved in neuron differentiation (GO:0048667),23/76,1.154599858481084e-08,2.1550606358549438e-06,5.097876604015017,NTNG1;SPTBN4;DCC;ATL1;PLPPR4;LMTK2;LRP4;ANK3;BAIAP2;ZDHHC17;OPHN1;MAP2;PARD3;BTBD3;SLITRK4;MAP6;SLITRK5;NRCAM;CTNNA2;CNTN4;PAK3;DSCAML1;FGFR2
